Plate,Plate Row,Plate Column,Well,Transposon Coordinates,Transposon Locatabilities,Features Disrupted,Distances of Transposon from Translation Starts,Fractional Distances of Transposon from Translation Starts,Locus Tags,Voigt Score
1,PR01,PC01,B4,"","","","","","",""
1,PR01,PC01,B5,"3004772","unambiguous","","2025","0.93","RAST2:fig|442.17.peg.549","2.1979532208153745e-05"
1,PR01,PC01,B6,"253357","unambiguous","","900","0.27","RAST2:fig|442.17.peg.1055","6.007167539996027e-05"
1,PR01,PC01,B7,"3409976","unambiguous","None","NA","NA","None","0.003722040962245788"
1,PR01,PC01,B8,"1504181.0, 2931685","unambiguous, ambiguous",", ","1063,309","0.76, 0.44","RAST2:fig|442.17.peg.2364, RAST2:fig|442.17.peg.480","merged, 0.00017729140376001627"
1,PR01,PC01,B9,"","","","","","",""
1,PR01,PC01,B10,"1636213","unambiguous","","1023","0.53","RAST2:fig|442.17.peg.2496","0.0021288435703311604"
1,PR01,PC01,B11,"589850, 849315","unambiguous, ambiguous",", ","1812,600","0.91, 0.52","RAST2:fig|442.17.peg.1465, RAST2:fig|442.17.peg.1714","5.277373597883714e-05, 0.000920842579004925"
1,PR01,PC01,B12,"1504181, 2931685","ambiguous, ambiguous",", ","1063,309","0.76, 0.44","RAST2:fig|442.17.peg.2364, RAST2:fig|442.17.peg.480","2.84813900815914e-13, 0.0014545643821727047"
1,PR01,PC01,C1,"1161861","unambiguous","None","NA","NA","None","0.0015430746756742299"
1,PR01,PC01,C2,"2432556","ambiguous","","31","0.08","RAST2:fig|442.17.peg.5","3.6941334724671514e-05"
1,PR01,PC01,C3,"1439145","unambiguous","","247","0.37","RAST2:fig|442.17.peg.2315","0.0006184034901399333"
1,PR01,PC01,C4,"1368558","ambiguous","","1312","0.88","RAST2:fig|442.17.peg.2249","6.1615168132706496e-12"
1,PR01,PC01,C5,"","","","","","",""
1,PR01,PC01,C6,"","","","","","",""
1,PR01,PC01,C7,"2460226","unambiguous","","4083","0.90","RAST2:fig|442.17.peg.22","0.0014996818047404176"
1,PR01,PC01,C8,"657625, 1130543","unambiguous, unambiguous",", ","953,229","0.95, 0.23","RAST2:fig|442.17.peg.1534, RAST2:fig|442.17.peg.1999","-1.3207416941790063e-13, 0.0011187542893275279"
1,PR01,PC01,C9,"736209, 860507, 3234522","unambiguous, ambiguous, ambiguous",", , ","1090,63,2296","0.92, 0.05, 0.95","RAST2:fig|442.17.peg.1609, RAST2:fig|442.17.peg.1753, RAST2:fig|442.17.peg.755","1.9066294438045943e-06, 3.603344349605672e-05, 5.076318650622687e-13"
1,PR01,PC01,C10,"543726, 860507, 1033913, 1955688","ambiguous, ambiguous, ambiguous, ambiguous",", , , ","267,63,455,180","0.67, 0.05, 0.55, 0.32","RAST2:fig|442.17.peg.1421, RAST2:fig|442.17.peg.1753, RAST2:fig|442.17.peg.1914, RAST2:fig|442.17.peg.2803","0.003928682119294202, 3.809987036671089e-05, 0.00034174281695373797, 0.0020054137160091605"
1,PR01,PC01,C11,"849315, 2801004","ambiguous, unambiguous",", ","600,2472","0.52, 0.99","RAST2:fig|442.17.peg.1714, RAST2:fig|442.17.peg.355","0.0004784702593611541, 0.0007947975147887726"
1,PR01,PC01,C12,"2616646, 3376797","unambiguous, ambiguous",", ","111,2042","0.49, 0.87","RAST2:fig|442.17.peg.149, RAST2:fig|442.17.peg.1291","0.004580327924838242, 1.532774114488359e-11"
1,PR01,PC01,D1,"184901, 873599.0","unambiguous, unambiguous",", ","2242,1502","0.97, 0.87","RAST2:fig|442.17.peg.1004, RAST2:fig|442.17.peg.1765","8.985705836041681e-06, merged"
1,PR01,PC01,D2,"1662053","ambiguous","","2605","0.87","RAST2:fig|442.17.peg.2518","0.0007065562210718238"
1,PR01,PC01,D3,"1792914","unambiguous","None","NA","NA","None","0.0019875131842470653"
1,PR01,PC01,D4,"","","","","","",""
1,PR01,PC01,D5,"","","","","","",""
1,PR01,PC01,D6,"913572","ambiguous","","525","0.53","RAST2:fig|442.17.peg.1803","0.0006866181125224429"
1,PR01,PC01,D7,"","","","","","",""
1,PR01,PC01,D8,"","","","","","",""
1,PR01,PC01,D9,"873601, 2849361, 2965620, 3057690","ambiguous, ambiguous, ambiguous, unambiguous",", , , ","1504,1091,616,237","0.87, 0.94, 0.71, 0.61","RAST2:fig|442.17.peg.1765, RAST2:fig|442.17.peg.404, RAST2:fig|442.17.peg.516, RAST2:fig|442.17.peg.588","3.0023840975657977e-06, 5.593910786013714e-06, 0.0017831908466049817, 3.124098457444939e-11"
1,PR01,PC01,D10,"1111685, 1792914","ambiguous, unambiguous","None, None","NA,NA","NA, NA","None, None","0.003356215227822833, 6.736590558168473e-12"
1,PR01,PC01,D11,"913572, 2115587","ambiguous, unambiguous",", ","525,221","0.53, 0.33","RAST2:fig|442.17.peg.1803, RAST2:fig|442.17.peg.2947","0.0007093345700469021, 0.00415230602895929"
1,PR01,PC01,D12,"272955, 1111685, 2643923, 2965620","unambiguous, ambiguous, ambiguous, ambiguous",", None, None, ","835,NA,NA,616","1.00, NA, NA, 0.71","RAST2:fig|442.17.peg.1073, None, None, RAST2:fig|442.17.peg.516","4.703997530565931e-11, 0.005248414972847028, 0.003826120393593654, 0.002115090408865923"
1,PR01,PC01,E1,"952372, 1795611","ambiguous, ambiguous",", ","1519,1069","0.72, 0.91","RAST2:fig|442.17.peg.1843, RAST2:fig|442.17.peg.2644","0.0002874296118879519, 7.0593764053774605e-12"
1,PR01,PC01,E2,"965650, 2913769, 3169188","unambiguous, unambiguous, ambiguous",", , ","1302,22,3150","0.71, 0.01, 0.89","RAST2:fig|442.17.peg.1859, RAST2:fig|442.17.peg.464, RAST2:fig|442.17.peg.694","3.0357828306371047e-07, 0.0002559710690332961, 0.004629925208568753"
1,PR01,PC01,E3,"926556","unambiguous","","163","0.37","RAST2:fig|442.17.peg.1817","0.00300635478849377"
1,PR01,PC01,E4,"1368558","ambiguous","","1312","0.88","RAST2:fig|442.17.peg.2249","0.002912303218084133"
1,PR01,PC01,E5,"837973","unambiguous","","95","0.15","RAST2:fig|442.17.peg.1704","0.0003217384167497364"
1,PR01,PC01,E6,"837973, 3169188","unambiguous, ambiguous",", ","95,3150","0.15, 0.89","RAST2:fig|442.17.peg.1704, RAST2:fig|442.17.peg.694","3.522438611847519e-12, 0.004276382233020859"
1,PR01,PC01,E7,"","","","","","",""
1,PR01,PC01,E8,"99115","unambiguous","","757","0.99","RAST2:fig|442.17.peg.914","4.155761000596417e-05"
1,PR01,PC01,E9,"1795611","ambiguous","","1069","0.91","RAST2:fig|442.17.peg.2644","0.0004871022210542238"
1,PR01,PC01,E10,"952372, 3203956","ambiguous, ambiguous",", None","1519,NA","0.72, NA","RAST2:fig|442.17.peg.1843, None","2.974865493660753e-12, 0.005600939541328556"
1,PR01,PC01,E11,"965650","unambiguous","","1302","0.71","RAST2:fig|442.17.peg.1859","3.433744671302241e-05"
1,PR01,PC01,E12,"","","","","","",""
1,PR01,PC01,F1,"630754, 1338156","ambiguous, unambiguous","None, None","NA,NA","NA, NA","None, None","7.363520715443944e-12, 0.00019415308007457023"
1,PR01,PC01,F2,"630754","ambiguous","None","NA","NA","None","0.0020707681153592588"
1,PR01,PC01,F3,"","","","","","",""
1,PR01,PC01,F4,"","","","","","",""
1,PR01,PC01,F5,"630754","ambiguous","None","NA","NA","None","3.363715777439139e-12"
1,PR01,PC01,F6,"1322911","ambiguous","","177","0.59","RAST2:fig|442.17.peg.2206","0.00019374347924247667"
1,PR01,PC01,F7,"3409523","unambiguous","None","NA","NA","None","3.822136915714711e-05"
1,PR01,PC01,F8,"3413967","ambiguous","","838","0.47","RAST2:fig|442.17.peg.1319","0.000653470085592307"
1,PR01,PC01,F9,"","","","","","",""
1,PR01,PC01,F10,"3413967","ambiguous","","838","0.47","RAST2:fig|442.17.peg.1319","0.005116987300883694"
1,PR01,PC01,F11,"2021246","unambiguous","","379","0.45","RAST2:fig|442.17.peg.2857","0.00036242102227001366"
1,PR01,PC01,F12,"","","","","","",""
1,PR01,PC01,G1,"2069986, 3422331","ambiguous, unambiguous",", ","1495,130","0.62, 0.08","RAST2:fig|442.17.peg.2911, RAST2:fig|442.17.peg.1730","0.000634232785523499, 6.100712969780978e-08"
1,PR01,PC01,G2,"1507244","unambiguous","","658","0.33","RAST2:fig|442.17.peg.2366","0.00022793022273357482"
1,PR01,PC01,G3,"1912169, 3396648","ambiguous, ambiguous",", None","148,NA","0.10, NA","RAST2:fig|442.17.peg.2759, None","0.00017107257608027076, 0.004910012079546294"
1,PR01,PC01,G4,"154957","unambiguous","","90","0.23","RAST2:fig|442.17.peg.975","0.003875102653095688"
1,PR01,PC01,G5,"549162, 3108786","ambiguous, ambiguous",", ","213,382","0.34, 0.97","RAST2:fig|442.17.peg.1426, RAST2:fig|442.17.peg.638","0.0005451328183774483, 0.001656178074468301"
1,PR01,PC01,G6,"430160, 2967688","unambiguous, ambiguous","None, ","NA,1228","NA, 0.89","None, RAST2:fig|442.17.peg.518","0.005000304262294931, 0.0040394182329977005"
1,PR01,PC01,G7,"1977726, 3407299","unambiguous, ambiguous",", None","1743,NA","0.47, NA","RAST2:fig|442.17.peg.2828, None","0.0025047512519209025, 0.005824262730412946"
1,PR01,PC01,G8,"218036","unambiguous","","1401","0.60","RAST2:fig|442.17.peg.1024","0.0005055160505998626"
1,PR01,PC01,G9,"","","","","","",""
1,PR01,PC01,G10,"549162, 606075","ambiguous, unambiguous",", ","213,1395","0.34, 0.91","RAST2:fig|442.17.peg.1426, RAST2:fig|442.17.peg.1479","0.002409182987839676, 0.00031308904589833175"
1,PR01,PC01,G11,"558985, 917881","ambiguous, unambiguous","None, ","NA,496","NA, 0.44","None, RAST2:fig|442.17.peg.1808","1.1052864578151384e-13, 0.00012975427770544514"
1,PR01,PC01,G12,"3407299","ambiguous","None","NA","NA","None","0.0057392318773005725"
1,PR01,PC01,H1,"873599, 2004458","ambiguous, ambiguous",", ","1502,981","0.87, 0.58","RAST2:fig|442.17.peg.1765, RAST2:fig|442.17.peg.2843","1.3488204990649936e-05, 0.0005463226256558081"
1,PR01,PC01,H2,"3128447, 3225733","unambiguous, unambiguous",", ","1833,2418","0.76, 0.78","RAST2:fig|442.17.peg.659, RAST2:fig|442.17.peg.750","0.002132899134011145, 5.607297295561344e-11"
1,PR01,PC01,H3,"3166641","ambiguous","None","NA","NA","None","0.0008660089036760744"
1,PR01,PC01,H4,"530052, 3165116","unambiguous, ambiguous",", ","858,282","0.96, 0.36","RAST2:fig|442.17.peg.1409, RAST2:fig|442.17.peg.689","0.00015461297338419474, 1.734180724448041e-11"
1,PR01,PC01,H5,"913571, 1477812, 2004458","ambiguous, unambiguous, ambiguous",", , ","524,1019,981","0.53, 0.31, 0.58","RAST2:fig|442.17.peg.1803, RAST2:fig|442.17.peg.2343, RAST2:fig|442.17.peg.2843","0.004937593904937313, 0.002753091591676132, 0.0013628647582014167"
1,PR01,PC01,H6,"1707426, 1719962, 2967688","ambiguous, ambiguous, ambiguous",", , ","565,906,1228","0.60, 0.37, 0.89","RAST2:fig|442.17.peg.2559, RAST2:fig|442.17.peg.2571, RAST2:fig|442.17.peg.518","0.0037216304557946105, 0.0017951725540613515, 0.0032633624018148888"
1,PR01,PC01,H7,"3165116","ambiguous","","282","0.36","RAST2:fig|442.17.peg.689","0.0031126435443402886"
1,PR01,PC01,H8,"2770105","unambiguous","None","NA","NA","None","0.0032155598503340152"
1,PR01,PC01,H9,"873605, 3225733","ambiguous, unambiguous",", ","1508,2418","0.87, 0.78","RAST2:fig|442.17.peg.1765, RAST2:fig|442.17.peg.750","0.002432139213266901, 0.0005118197757557537"
1,PR01,PC01,H10,"1662617","unambiguous","","2041","0.69","RAST2:fig|442.17.peg.2518","4.983770368562494e-06"
1,PR01,PC01,H11,"1432116, 2078209","unambiguous, unambiguous",", ","110,1299","0.05, 0.70","RAST2:fig|442.17.peg.2306, RAST2:fig|442.17.peg.2917","0.002965132960152272, 1.8101153813456505e-06"
1,PR01,PC01,H12,"2024183, 2265187","ambiguous, unambiguous",", ","1425,430","0.85, 0.39","RAST2:fig|442.17.peg.2860, RAST2:fig|442.17.peg.3114","0.002258052986277828, 0.0003501597272638955"
2,PR01,PC02,A1,"239391, 1313728","unambiguous, ambiguous",", ","342,175","0.15, 0.15","RAST2:fig|442.17.peg.1048, RAST2:fig|442.17.peg.2197","0.0036157628248361627, 3.3854006401224218e-15"
2,PR01,PC02,A2,"239391, 412373, 1602928","unambiguous, ambiguous, unambiguous",", , ","342,268,614","0.15, 0.52, 0.79","RAST2:fig|442.17.peg.1048, RAST2:fig|442.17.peg.1189, RAST2:fig|442.17.peg.2464","1.9006056584062577e-09, 0.0017538450133721417, 3.2802978045151956e-05"
2,PR01,PC02,A3,"2618959, 3361188","unambiguous, ambiguous",", ","574,275","1.00, 0.97","RAST2:fig|442.17.peg.152, RAST2:fig|442.17.peg.1271","0.00011656942449056843, 4.522777125596207e-12"
2,PR01,PC02,A4,"3409560","ambiguous","None","NA","NA","None","3.8157677729165565e-12"
2,PR01,PC02,A5,"1369006, 1663502, 3282432","ambiguous, unambiguous, ambiguous",", , ","864,1156,384","0.58, 0.39, 0.99","RAST2:fig|442.17.peg.2249, RAST2:fig|442.17.peg.2518, RAST2:fig|442.17.peg.812","0.0005745063399710863, 0.00016627477083947236, 0.0010257513026821503"
2,PR01,PC02,A6,"1684889, 3282432","ambiguous, ambiguous",", ","225,384","0.08, 0.99","RAST2:fig|442.17.peg.2542, RAST2:fig|442.17.peg.812","0.0028252274546472183, 0.0010257513026821503"
2,PR01,PC02,A7,"2141203","unambiguous","","1062","0.63","RAST2:fig|442.17.peg.2970","0.005606834860567011"
2,PR01,PC02,A8,"3388819","unambiguous","None","NA","NA","None","-1.316130263766798e-08"
2,PR01,PC02,A9,"1260361, 1369006, 2283724","ambiguous, ambiguous, unambiguous",", , ","297,864,824","0.31, 0.58, 0.44","RAST2:fig|442.17.peg.2144, RAST2:fig|442.17.peg.2249, RAST2:fig|442.17.peg.3131","1.9469380717847775e-12, 0.004459224834266753, 0.0015045493716008445"
2,PR01,PC02,A10,"3282432, 3341838","ambiguous, unambiguous",", ","384,234","0.99, 0.08","RAST2:fig|442.17.peg.812, RAST2:fig|442.17.peg.1240","0.001486189923752858, 0.004564695409258037"
2,PR01,PC02,A11,"845492","unambiguous","","429","0.26","RAST2:fig|442.17.peg.1710","0.004744987699311248"
2,PR01,PC02,A12,"1684889, 1723770, 1969056","ambiguous, unambiguous, ambiguous",", , ","225,996,37","0.08, 0.55, 0.11","RAST2:fig|442.17.peg.2542, RAST2:fig|442.17.peg.2573, RAST2:fig|442.17.peg.2819","1.0414210466613558e-09, 0.0008833221460300845, 0.0031156550955179383"
2,PR01,PC02,B1,"","","","","","",""
2,PR01,PC02,B2,"3047433","ambiguous","","804","0.50","RAST2:fig|442.17.peg.577","2.5933483554730152e-11"
2,PR01,PC02,B3,"1492432","ambiguous","","658","0.84","RAST2:fig|442.17.peg.2354","0.000298740221181578"
2,PR01,PC02,B4,"3353395","unambiguous","","561","0.86","RAST2:fig|442.17.peg.1257","0.0017992035454896292"
2,PR01,PC02,B5,"2524759","unambiguous","","498","0.40","RAST2:fig|442.17.peg.64","0.0017402770295956822"
2,PR01,PC02,B6,"2292753, 3209429","unambiguous, ambiguous",", None","75,NA","0.47, NA","RAST2:fig|442.17.peg.3143, None","-6.796086066701676e-10, 2.0915543309374394e-13"
2,PR01,PC02,B7,"2506252","unambiguous","","45","0.03","RAST2:fig|442.17.peg.48","0.0007114017945460314"
2,PR01,PC02,B8,"","","","","","",""
2,PR01,PC02,B9,"1440561, 2227841","ambiguous, unambiguous","None, ","NA,615","NA, 0.30","None, RAST2:fig|442.17.peg.3067","2.5896222439816242e-12, 0.00028645965304442466"
2,PR01,PC02,B10,"1258917, 1789445, 2550719","unambiguous, ambiguous, unambiguous",", , ","128,461,913","0.42, 0.18, 0.84","RAST2:fig|442.17.peg.2136, RAST2:fig|442.17.peg.2637, RAST2:fig|442.17.peg.90","1.6773222938379366e-05, 1.6633724272924456e-10, -2.3993242539412647e-13"
2,PR01,PC02,B11,"386254","ambiguous","","313","0.58","RAST2:fig|442.17.peg.1168","1.2947155167546916e-13"
2,PR01,PC02,B12,"1492432, 2418331","ambiguous, unambiguous",", ","658,237","0.84, 0.59","RAST2:fig|442.17.peg.2354, RAST2:fig|442.17.peg.3275","6.1876344472574254e-09, 0.002527662163393475"
2,PR01,PC02,C1,"3041300","ambiguous","","96","0.06","RAST2:fig|442.17.peg.571","7.179954335453742e-10"
2,PR01,PC02,C2,"1196521","ambiguous","","160","0.16","RAST2:fig|442.17.peg.2073","0.005681895332040718"
2,PR01,PC02,C3,"3132513","unambiguous","","702","0.78","RAST2:fig|442.17.peg.662","0.0002504088719845236"
2,PR01,PC02,C4,"2960773","ambiguous","","302","0.36","RAST2:fig|442.17.peg.509","0.0005650386080211268"
2,PR01,PC02,C5,"","","","","","",""
2,PR01,PC02,C6,"1236207, 2535763","unambiguous, ambiguous","None, ","NA,2136","NA, 0.85","None, RAST2:fig|442.17.peg.75","0.00023321778220796282, 2.545726614484886e-12"
2,PR01,PC02,C7,"571379","unambiguous","","907","0.61","RAST2:fig|442.17.peg.1446","0.0010972471427874583"
2,PR01,PC02,C8,"3309547","unambiguous","","571","0.26","RAST2:fig|442.17.peg.1216","8.963504447852461e-05"
2,PR01,PC02,C9,"546225, 1260282, 2815260, 3234522","unambiguous, ambiguous, ambiguous, ambiguous",", , , ","1039,376,2016,2296","0.81, 0.39, 0.71, 0.95","RAST2:fig|442.17.peg.1423, RAST2:fig|442.17.peg.2144, RAST2:fig|442.17.peg.373, RAST2:fig|442.17.peg.755","3.7588581839127185e-05, 1.8249041722375456e-11, 0.0036679682674766313, 4.751279842903624e-13"
2,PR01,PC02,C10,"2265159","unambiguous","","402","0.36","RAST2:fig|442.17.peg.3114","2.7791210450110138e-06"
2,PR01,PC02,C11,"1354496, 3088841","unambiguous, ambiguous",", ","1363,719","0.95, 0.52","RAST2:fig|442.17.peg.2235, RAST2:fig|442.17.peg.615","0.00038356721495309457, 2.305993668729977e-13"
2,PR01,PC02,C12,"635433, 2960773, 3205284","unambiguous, ambiguous, ambiguous",", , None","601,302,NA","0.83, 0.36, NA","RAST2:fig|442.17.peg.1507, RAST2:fig|442.17.peg.509, None","0.0030096094070577906, 0.0007371649022552532, 2.289986301658137e-13"
2,PR01,PC02,D1,"1489590, 3134902","unambiguous, unambiguous","None, ","NA,825","NA, 0.72","None, RAST2:fig|442.17.peg.664","1.9782817141948394e-07, 0.005445417599468223"
2,PR01,PC02,D2,"2273950, 2537701, 2678200, 3047433","ambiguous, unambiguous, ambiguous, ambiguous",", , , ","102,198,1067,804","0.10, 0.08, 0.64, 0.50","RAST2:fig|442.17.peg.3124, RAST2:fig|442.17.peg.75, RAST2:fig|442.17.peg.217, RAST2:fig|442.17.peg.577","3.0161620478521536e-11, 0.0008950980791263416, 3.054204034394427e-11, 1.0679901116174819e-11"
2,PR01,PC02,D3,"3406434","unambiguous","None","NA","NA","None","0.0011909631473941197"
2,PR01,PC02,D4,"1489590","unambiguous","None","NA","NA","None","8.519678437650805e-07"
2,PR01,PC02,D5,"","","","","","",""
2,PR01,PC02,D6,"554766, 1066065, 2088526, 2163912","ambiguous, ambiguous, unambiguous, unambiguous","None, , , ","NA,643,490,263","NA, 0.76, 0.45, 0.18","None, RAST2:fig|442.17.peg.1947, RAST2:fig|442.17.peg.2926, RAST2:fig|442.17.peg.2993","0.005721921712931318, 0.0041453092939160874, 0.0005555819334310774, -1.4489112631514632e-10"
2,PR01,PC02,D7,"2678200, 3050672","ambiguous, ambiguous",", ","1067,242","0.64, 0.16","RAST2:fig|442.17.peg.217, RAST2:fig|442.17.peg.580","0.00038105102415728515, 5.368617208568859e-12"
2,PR01,PC02,D8,"274723, 788431, 1236879","unambiguous, ambiguous, unambiguous",", , ","565,116,605","0.40, 0.12, 0.51","RAST2:fig|442.17.peg.1074, RAST2:fig|442.17.peg.1659, RAST2:fig|442.17.peg.2111","-8.079270665650762e-09, 2.4903192479937943e-11, 0.0004531410832400026"
2,PR01,PC02,D9,"285707, 1215859, 1620387, 1969056","ambiguous, ambiguous, unambiguous, ambiguous",", , , ","3463,764,180,37","0.97, 0.90, 0.24, 0.11","RAST2:fig|442.17.peg.1088, RAST2:fig|442.17.peg.2092, RAST2:fig|442.17.peg.2483, RAST2:fig|442.17.peg.2819","-1.945611472768073e-10, 0.0004848841712108537, 1.2139118160913737e-05, 0.003831129075017124"
2,PR01,PC02,D10,"","","","","","",""
2,PR01,PC02,D11,"1260282, 1620387, 1903848","ambiguous, unambiguous, unambiguous",", , ","376,180,222","0.39, 0.24, 0.34","RAST2:fig|442.17.peg.2144, RAST2:fig|442.17.peg.2483, RAST2:fig|442.17.peg.2750","1.094402792034011e-11, 1.980545557952205e-06, 0.0013914344454258164"
2,PR01,PC02,D12,"1066065, 1969056","ambiguous, ambiguous",", ","643,37","0.76, 0.11","RAST2:fig|442.17.peg.1947, RAST2:fig|442.17.peg.2819","0.0041453092939160874, 0.0038286120831318585"
2,PR01,PC02,E1,"723727, 1297789, 1404671, 2761452","ambiguous, unambiguous, ambiguous, unambiguous",", , , ","827,83,858,471","0.98, 0.06, 0.43, 0.58","RAST2:fig|442.17.peg.1597, RAST2:fig|442.17.peg.2180, RAST2:fig|442.17.peg.2278, RAST2:fig|442.17.peg.323","0.00590634185356943, 0.00013482344945748748, 1.6257650803176665e-12, 4.654827159554729e-12"
2,PR01,PC02,E2,"1201895, 1299832, 1404671, 2321580, 2535171","unambiguous, ambiguous, ambiguous, ambiguous, unambiguous",", , , , ","955,258,858,807,66","0.49, 0.49, 0.43, 0.70, 0.33","RAST2:fig|442.17.peg.2078, RAST2:fig|442.17.peg.2184, RAST2:fig|442.17.peg.2278, RAST2:fig|442.17.peg.3172, RAST2:fig|442.17.peg.74","2.6401582742990564e-05, 9.277088635922522e-12, 4.114756515999164e-13, 8.212843111212153e-13, 8.857454234797465e-07"
2,PR01,PC02,E3,"2761452","unambiguous","","471","0.58","RAST2:fig|442.17.peg.323","0.002090840008706421"
2,PR01,PC02,E4,"856674, 3177083","ambiguous, unambiguous",", ","786,1933","0.21, 0.61","RAST2:fig|442.17.peg.1748, RAST2:fig|442.17.peg.701","0.002431743732172605, 0.0013110827785185826"
2,PR01,PC02,E5,"3168816, 3413743","unambiguous, ambiguous",", ","3522,1062","1.00, 0.60","RAST2:fig|442.17.peg.694, RAST2:fig|442.17.peg.1319","0.00010111576198232638, 1.2360759082817537e-12"
2,PR01,PC02,E6,"406714, 876483, 1404671","ambiguous, ambiguous, ambiguous",", , ","15,512,858","0.02, 0.90, 0.43","RAST2:fig|442.17.peg.1185, RAST2:fig|442.17.peg.1770, RAST2:fig|442.17.peg.2278","1.0805386856420547e-11, 0.005602865982969571, 0.00029544919812221117"
2,PR01,PC02,E7,"2321580, 2747787","ambiguous, unambiguous",", ","807,163","0.70, 0.45","RAST2:fig|442.17.peg.3172, RAST2:fig|442.17.peg.305","1.0044892625952529e-12, 3.13954220886801e-07"
2,PR01,PC02,E8,"1788985, 2747787","unambiguous, unambiguous",", ","921,163","0.37, 0.45","RAST2:fig|442.17.peg.2637, RAST2:fig|442.17.peg.305","0.002229765963247075, 1.3767523311749043e-06"
2,PR01,PC02,E9,"1308815, 2321580, 2419358, 2535171","unambiguous, ambiguous, unambiguous, unambiguous",", , , ","985,807,1548,66","0.42, 0.70, 0.71, 0.33","RAST2:fig|442.17.peg.2193, RAST2:fig|442.17.peg.3172, RAST2:fig|442.17.peg.3276, RAST2:fig|442.17.peg.74","2.1994471000856982e-12, 1.41658891422751e-12, 6.0745848969809775e-12, 0.0019942655529357426"
2,PR01,PC02,E10,"2321580","ambiguous","","807","0.70","RAST2:fig|442.17.peg.3172","0.00010744209085997249"
2,PR01,PC02,E11,"856674, 2379601","ambiguous, unambiguous",", ","786,1076","0.21, 0.79","RAST2:fig|442.17.peg.1748, RAST2:fig|442.17.peg.3236","0.0030590546982337467, 0.00017805758946581656"
2,PR01,PC02,E12,"1195186, 2379601, 2534569, 3366108","unambiguous, unambiguous, unambiguous, ambiguous",", , None, ","487,1076,NA,781","0.36, 0.79, NA, 1.00","RAST2:fig|442.17.peg.2072, RAST2:fig|442.17.peg.3236, None, RAST2:fig|442.17.peg.1281","4.670701636712025e-13, 3.0165083243991435e-10, 6.623326252717808e-05, 8.484122087425442e-12"
2,PR01,PC02,F1,"460103, 505149, 1620386, 1714983","ambiguous, ambiguous, ambiguous, unambiguous",", , , ","5,378,181,591","0.01, 0.80, 0.24, 0.26","RAST2:fig|442.17.peg.1337, RAST2:fig|442.17.peg.1381, RAST2:fig|442.17.peg.2483, RAST2:fig|442.17.peg.2568","5.18009223586857e-10, 4.864331216256762e-12, 0.0005939449557961176, 4.613989420402871e-05"
2,PR01,PC02,F2,"2584828","unambiguous","","19","0.12","RAST2:fig|442.17.peg.119","6.398053178804254e-12"
2,PR01,PC02,F3,"964579","unambiguous","","231","0.13","RAST2:fig|442.17.peg.1859","0.0005179388788480009"
2,PR01,PC02,F4,"921052, 2993701","ambiguous, unambiguous",", ","223,129","0.72, 0.21","RAST2:fig|442.17.peg.1813, RAST2:fig|442.17.peg.540","0.004061704550821415, 0.0047525724626821106"
2,PR01,PC02,F5,"397581, 1787656","unambiguous, unambiguous",", ","1836,2250","0.83, 0.90","RAST2:fig|442.17.peg.1176, RAST2:fig|442.17.peg.2637","1.3863582319783917e-11, 0.002917648728346893"
