Gene,Gene Identifier,Number of AT Sites,AT Coordinates
Dihydroorotase,RAST2:fig|442.17.peg.844,115,"8308, 8314, 8326, 8327, 8331, 8350, 8351, 8363, 8372, 8377, 8388, 8398, 8399, 8422, 8429, 8452, 8457, 8484, 8500, 8505, 8506, 8516, 8551, 8566, 8593, 8663, 8670, 8698, 8736, 8748, 8749, 8773, 8780, 8781, 8834, 8839, 8847, 8857, 8886, 8902, 8914, 8933, 8934, 8937, 8938, 8950, 8970, 8971, 8976, 8977, 8993, 9001, 9044, 9046, 9049, 9050, 9105, 9108, 9109, 9118, 9119, 9144, 9166, 9180, 9184, 9188, 9202, 9248, 9321, 9336, 9342, 9358, 9360, 9363, 9364, 9365, 9366, 9375, 9391, 9410, 9411, 9420, 9421, 9435, 9441, 9442, 9444, 9453, 9456, 9469, 9473, 9474, 9493, 9494, 9498, 9502, 9503, 9513, 9514, 9526, 9529, 9530, 9538, 9542, 9543, 9553, 9564, 9567, 9574, 9583, 9585, 9589, 9594, 9605, 9616"
Ribulose-5-phosphate 4-epimerase and related ep,RAST2:fig|442.17.peg.845,56,"9641, 9647, 9659, 9660, 9664, 9683, 9684, 9696, 9705, 9710, 9721, 9731, 9732, 9755, 9762, 9785, 9790, 9817, 9833, 9838, 9839, 9849, 9884, 9899, 9926, 9996, 10003, 10031, 10069, 10081, 10082, 10106, 10113, 10114, 10167, 10172, 10180, 10190, 10219, 10235, 10247, 10266, 10267, 10270, 10271, 10283, 10303, 10304, 10309, 10310, 10326, 10334, 10377, 10379, 10382, 10383"
TonB-dependent receptor,RAST2:fig|442.17.peg.846,194,"10487, 10493, 10505, 10506, 10510, 10529, 10530, 10542, 10551, 10556, 10567, 10577, 10578, 10601, 10608, 10631, 10636, 10663, 10679, 10684, 10685, 10695, 10730, 10745, 10772, 10842, 10849, 10877, 10915, 10927, 10928, 10952, 10959, 10960, 11013, 11018, 11026, 11036, 11065, 11081, 11093, 11112, 11113, 11116, 11117, 11129, 11149, 11150, 11155, 11156, 11172, 11180, 11223, 11225, 11228, 11229, 11284, 11287, 11288, 11297, 11298, 11323, 11345, 11359, 11363, 11367, 11381, 11427, 11500, 11515, 11521, 11537, 11539, 11542, 11543, 11544, 11545, 11554, 11570, 11589, 11590, 11599, 11600, 11614, 11620, 11621, 11623, 11632, 11635, 11648, 11652, 11653, 11672, 11673, 11677, 11681, 11682, 11692, 11693, 11705, 11708, 11709, 11717, 11721, 11722, 11732, 11743, 11746, 11753, 11762, 11764, 11768, 11773, 11784, 11795, 11801, 11811, 11828, 11836, 11837, 11853, 11862, 11889, 11917, 11918, 11951, 11954, 11962, 12030, 12031, 12032, 12074, 12083, 12094, 12098, 12129, 12130, 12131, 12150, 12155, 12225, 12259, 12273, 12280, 12283, 12288, 12296, 12301, 12336, 12339, 12361, 12388, 12446, 12447, 12448, 12484, 12509, 12516, 12533, 12535, 12565, 12566, 12567, 12571, 12589, 12590, 12600, 12604, 12631, 12659, 12670, 12671, 12676, 12677, 12698, 12711, 12720, 12727, 12734, 12735, 12737, 12792, 12807, 12811, 12812, 12819, 12829, 12835, 12851, 12855, 12868, 12881, 12884, 12885"
hypothetical protein,RAST2:fig|442.17.peg.847,128,"13394, 13400, 13412, 13413, 13417, 13436, 13437, 13449, 13458, 13463, 13474, 13484, 13485, 13508, 13515, 13538, 13543, 13570, 13586, 13591, 13592, 13602, 13637, 13652, 13679, 13749, 13756, 13784, 13822, 13834, 13835, 13859, 13866, 13867, 13920, 13925, 13933, 13943, 13972, 13988, 14000, 14019, 14020, 14023, 14024, 14036, 14056, 14057, 14062, 14063, 14079, 14087, 14130, 14132, 14135, 14136, 14191, 14194, 14195, 14204, 14205, 14230, 14252, 14266, 14270, 14274, 14288, 14334, 14407, 14422, 14428, 14444, 14446, 14449, 14450, 14451, 14452, 14461, 14477, 14496, 14497, 14506, 14507, 14521, 14527, 14528, 14530, 14539, 14542, 14555, 14559, 14560, 14579, 14580, 14584, 14588, 14589, 14599, 14600, 14612, 14615, 14616, 14624, 14628, 14629, 14639, 14650, 14653, 14660, 14669, 14671, 14675, 14680, 14691, 14702, 14708, 14718, 14735, 14743, 14744, 14760, 14769, 14796, 14824, 14825, 14858, 14861, 14869"
hypothetical protein,RAST2:fig|442.17.peg.848,56,"14999, 15005, 15017, 15018, 15022, 15041, 15042, 15054, 15063, 15068, 15079, 15089, 15090, 15113, 15120, 15143, 15148, 15175, 15191, 15196, 15197, 15207, 15242, 15257, 15284, 15354, 15361, 15389, 15427, 15439, 15440, 15464, 15471, 15472, 15525, 15530, 15538, 15548, 15577, 15593, 15605, 15624, 15625, 15628, 15629, 15641, 15661, 15662, 15667, 15668, 15684, 15692, 15735, 15737, 15740, 15741"
"ABC transporter, permease protein",RAST2:fig|442.17.peg.849,46,"15772, 15778, 15790, 15791, 15795, 15814, 15815, 15827, 15836, 15841, 15852, 15862, 15863, 15886, 15893, 15916, 15921, 15948, 15964, 15969, 15970, 15980, 16015, 16030, 16057, 16127, 16134, 16162, 16200, 16212, 16213, 16237, 16244, 16245, 16298, 16303, 16311, 16321, 16350, 16366, 16378, 16397, 16398, 16401, 16402, 16414"
Glutamate Aspartate transport ATP-binding prote,RAST2:fig|442.17.peg.850,52,"16433, 16439, 16451, 16452, 16456, 16475, 16476, 16488, 16497, 16502, 16513, 16523, 16524, 16547, 16554, 16577, 16582, 16609, 16625, 16630, 16631, 16641, 16676, 16691, 16718, 16788, 16795, 16823, 16861, 16873, 16874, 16898, 16905, 16906, 16959, 16964, 16972, 16982, 17011, 17027, 17039, 17058, 17059, 17062, 17063, 17075, 17095, 17096, 17101, 17102, 17118, 17126"
hypothetical protein,RAST2:fig|442.17.peg.851,79,"17170, 17176, 17188, 17189, 17193, 17212, 17213, 17225, 17234, 17239, 17250, 17260, 17261, 17284, 17291, 17314, 17319, 17346, 17362, 17367, 17368, 17378, 17413, 17428, 17455, 17525, 17532, 17560, 17598, 17610, 17611, 17635, 17642, 17643, 17696, 17701, 17709, 17719, 17748, 17764, 17776, 17795, 17796, 17799, 17800, 17812, 17832, 17833, 17838, 17839, 17855, 17863, 17906, 17908, 17911, 17912, 17967, 17970, 17971, 17980, 17981, 18006, 18028, 18042, 18046, 18050, 18064, 18110, 18183, 18198, 18204, 18220, 18222, 18225, 18226, 18227, 18228, 18237, 18253"
Aspartate racemase,RAST2:fig|442.17.peg.852,52,"18338, 18344, 18356, 18357, 18361, 18380, 18381, 18393, 18402, 18407, 18418, 18428, 18429, 18452, 18459, 18482, 18487, 18514, 18530, 18535, 18536, 18546, 18581, 18596, 18623, 18693, 18700, 18728, 18766, 18778, 18779, 18803, 18810, 18811, 18864, 18869, 18877, 18887, 18916, 18932, 18944, 18963, 18964, 18967, 18968, 18980, 19000, 19001, 19006, 19007, 19023, 19031"
Hydantoin racemase,RAST2:fig|442.17.peg.853,50,"19035, 19041, 19053, 19054, 19058, 19077, 19078, 19090, 19099, 19104, 19115, 19125, 19126, 19149, 19156, 19179, 19184, 19211, 19227, 19232, 19233, 19243, 19278, 19293, 19320, 19390, 19397, 19425, 19463, 19475, 19476, 19500, 19507, 19508, 19561, 19566, 19574, 19584, 19613, 19629, 19641, 19660, 19661, 19664, 19665, 19677, 19697, 19698, 19703, 19704"
N-carbamoyl-D-amino acid hydrolase,RAST2:fig|442.17.peg.854,67,"19751, 19757, 19769, 19770, 19774, 19793, 19794, 19806, 19815, 19820, 19831, 19841, 19842, 19865, 19872, 19895, 19900, 19927, 19943, 19948, 19949, 19959, 19994, 20009, 20036, 20106, 20113, 20141, 20179, 20191, 20192, 20216, 20223, 20224, 20277, 20282, 20290, 20300, 20329, 20345, 20357, 20376, 20377, 20380, 20381, 20393, 20413, 20414, 20419, 20420, 20436, 20444, 20487, 20489, 20492, 20493, 20548, 20551, 20552, 20561, 20562, 20587, 20609, 20623, 20627, 20631, 20645"
"ABC transporter, ATP-binding protein",RAST2:fig|442.17.peg.855,133,"20823, 20829, 20841, 20842, 20846, 20865, 20866, 20878, 20887, 20892, 20903, 20913, 20914, 20937, 20944, 20967, 20972, 20999, 21015, 21020, 21021, 21031, 21066, 21081, 21108, 21178, 21185, 21213, 21251, 21263, 21264, 21288, 21295, 21296, 21349, 21354, 21362, 21372, 21401, 21417, 21429, 21448, 21449, 21452, 21453, 21465, 21485, 21486, 21491, 21492, 21508, 21516, 21559, 21561, 21564, 21565, 21620, 21623, 21624, 21633, 21634, 21659, 21681, 21695, 21699, 21703, 21717, 21763, 21836, 21851, 21857, 21873, 21875, 21878, 21879, 21880, 21881, 21890, 21906, 21925, 21926, 21935, 21936, 21950, 21956, 21957, 21959, 21968, 21971, 21984, 21988, 21989, 22008, 22009, 22013, 22017, 22018, 22028, 22029, 22041, 22044, 22045, 22053, 22057, 22058, 22068, 22079, 22082, 22089, 22098, 22100, 22104, 22109, 22120, 22131, 22137, 22147, 22164, 22172, 22173, 22189, 22198, 22225, 22253, 22254, 22287, 22290, 22298, 22366, 22367, 22368, 22410, 22419"
"ABC transporter, permease protein 2",RAST2:fig|442.17.peg.856,62,"22430, 22436, 22448, 22449, 22453, 22472, 22473, 22485, 22494, 22499, 22510, 22520, 22521, 22544, 22551, 22574, 22579, 22606, 22622, 22627, 22628, 22638, 22673, 22688, 22715, 22785, 22792, 22820, 22858, 22870, 22871, 22895, 22902, 22903, 22956, 22961, 22969, 22979, 23008, 23024, 23036, 23055, 23056, 23059, 23060, 23072, 23092, 23093, 23098, 23099, 23115, 23123, 23166, 23168, 23171, 23172, 23227, 23230, 23231, 23240, 23241, 23266"
"ABC transporter, permease protein 1",RAST2:fig|442.17.peg.857,70,"23293, 23299, 23311, 23312, 23316, 23335, 23336, 23348, 23357, 23362, 23373, 23383, 23384, 23407, 23414, 23437, 23442, 23469, 23485, 23490, 23491, 23501, 23536, 23551, 23578, 23648, 23655, 23683, 23721, 23733, 23734, 23758, 23765, 23766, 23819, 23824, 23832, 23842, 23871, 23887, 23899, 23918, 23919, 23922, 23923, 23935, 23955, 23956, 23961, 23962, 23978, 23986, 24029, 24031, 24034, 24035, 24090, 24093, 24094, 24103, 24104, 24129, 24151, 24165, 24169, 24173, 24187, 24233, 24306, 24321"
"ABC transporter, substrate-binding protein",RAST2:fig|442.17.peg.858,135,"24339, 24345, 24357, 24358, 24362, 24381, 24382, 24394, 24403, 24408, 24419, 24429, 24430, 24453, 24460, 24483, 24488, 24515, 24531, 24536, 24537, 24547, 24582, 24597, 24624, 24694, 24701, 24729, 24767, 24779, 24780, 24804, 24811, 24812, 24865, 24870, 24878, 24888, 24917, 24933, 24945, 24964, 24965, 24968, 24969, 24981, 25001, 25002, 25007, 25008, 25024, 25032, 25075, 25077, 25080, 25081, 25136, 25139, 25140, 25149, 25150, 25175, 25197, 25211, 25215, 25219, 25233, 25279, 25352, 25367, 25373, 25389, 25391, 25394, 25395, 25396, 25397, 25406, 25422, 25441, 25442, 25451, 25452, 25466, 25472, 25473, 25475, 25484, 25487, 25500, 25504, 25505, 25524, 25525, 25529, 25533, 25534, 25544, 25545, 25557, 25560, 25561, 25569, 25573, 25574, 25584, 25595, 25598, 25605, 25614, 25616, 25620, 25625, 25636, 25647, 25653, 25663, 25680, 25688, 25689, 25705, 25714, 25741, 25769, 25770, 25803, 25806, 25814, 25882, 25883, 25884, 25926, 25935, 25946, 25950"
Oxidoreductase,RAST2:fig|442.17.peg.859,125,"25966, 25972, 25984, 25985, 25989, 26008, 26009, 26021, 26030, 26035, 26046, 26056, 26057, 26080, 26087, 26110, 26115, 26142, 26158, 26163, 26164, 26174, 26209, 26224, 26251, 26321, 26328, 26356, 26394, 26406, 26407, 26431, 26438, 26439, 26492, 26497, 26505, 26515, 26544, 26560, 26572, 26591, 26592, 26595, 26596, 26608, 26628, 26629, 26634, 26635, 26651, 26659, 26702, 26704, 26707, 26708, 26763, 26766, 26767, 26776, 26777, 26802, 26824, 26838, 26842, 26846, 26860, 26906, 26979, 26994, 27000, 27016, 27018, 27021, 27022, 27023, 27024, 27033, 27049, 27068, 27069, 27078, 27079, 27093, 27099, 27100, 27102, 27111, 27114, 27127, 27131, 27132, 27151, 27152, 27156, 27160, 27161, 27171, 27172, 27184, 27187, 27188, 27196, 27200, 27201, 27211, 27222, 27225, 27232, 27241, 27243, 27247, 27252, 27263, 27274, 27280, 27290, 27307, 27315, 27316, 27332, 27341, 27368, 27396, 27397"
3-oxoacyl-[acyl-carrier protein] reductase,RAST2:fig|442.17.peg.860,56,"27664, 27670, 27682, 27683, 27687, 27706, 27707, 27719, 27728, 27733, 27744, 27754, 27755, 27778, 27785, 27808, 27813, 27840, 27856, 27861, 27862, 27872, 27907, 27922, 27949, 28019, 28026, 28054, 28092, 28104, 28105, 28129, 28136, 28137, 28190, 28195, 28203, 28213, 28242, 28258, 28270, 28289, 28290, 28293, 28294, 28306, 28326, 28327, 28332, 28333, 28349, 28357, 28400, 28402, 28405, 28406"
L-lactate dehydrogenase,RAST2:fig|442.17.peg.861,27,"28449, 28455, 28467, 28468, 28472, 28491, 28492, 28504, 28513, 28518, 28529, 28539, 28540, 28563, 28570, 28593, 28598, 28625, 28641, 28646, 28647, 28657, 28692, 28707, 28734, 28804, 28811"
L-lactate dehydrogenase,RAST2:fig|442.17.peg.862,51,"28920, 28926, 28938, 28939, 28943, 28962, 28963, 28975, 28984, 28989, 29000, 29010, 29011, 29034, 29041, 29064, 29069, 29096, 29112, 29117, 29118, 29128, 29163, 29178, 29205, 29275, 29282, 29310, 29348, 29360, 29361, 29385, 29392, 29393, 29446, 29451, 29459, 29469, 29498, 29514, 29526, 29545, 29546, 29549, 29550, 29562, 29582, 29583, 29588, 29589, 29605"
Nitrate/nitrite transporter,RAST2:fig|442.17.peg.863,97,"29682, 29688, 29700, 29701, 29705, 29724, 29725, 29737, 29746, 29751, 29762, 29772, 29773, 29796, 29803, 29826, 29831, 29858, 29874, 29879, 29880, 29890, 29925, 29940, 29967, 30037, 30044, 30072, 30110, 30122, 30123, 30147, 30154, 30155, 30208, 30213, 30221, 30231, 30260, 30276, 30288, 30307, 30308, 30311, 30312, 30324, 30344, 30345, 30350, 30351, 30367, 30375, 30418, 30420, 30423, 30424, 30479, 30482, 30483, 30492, 30493, 30518, 30540, 30554, 30558, 30562, 30576, 30622, 30695, 30710, 30716, 30732, 30734, 30737, 30738, 30739, 30740, 30749, 30765, 30784, 30785, 30794, 30795, 30809, 30815, 30816, 30818, 30827, 30830, 30843, 30847, 30848, 30867, 30868, 30872, 30876, 30877"
Nitroreductase family protein,RAST2:fig|442.17.peg.864,40,"31012, 31018, 31030, 31031, 31035, 31054, 31055, 31067, 31076, 31081, 31092, 31102, 31103, 31126, 31133, 31156, 31161, 31188, 31204, 31209, 31210, 31220, 31255, 31270, 31297, 31367, 31374, 31402, 31440, 31452, 31453, 31477, 31484, 31485, 31538, 31543, 31551, 31561, 31590, 31606"
Gluconate 2-dehydrogenase,RAST2:fig|442.17.peg.865,116,"32054, 32060, 32072, 32073, 32077, 32096, 32097, 32109, 32118, 32123, 32134, 32144, 32145, 32168, 32175, 32198, 32203, 32230, 32246, 32251, 32252, 32262, 32297, 32312, 32339, 32409, 32416, 32444, 32482, 32494, 32495, 32519, 32526, 32527, 32580, 32585, 32593, 32603, 32632, 32648, 32660, 32679, 32680, 32683, 32684, 32696, 32716, 32717, 32722, 32723, 32739, 32747, 32790, 32792, 32795, 32796, 32851, 32854, 32855, 32864, 32865, 32890, 32912, 32926, 32930, 32934, 32948, 32994, 33067, 33082, 33088, 33104, 33106, 33109, 33110, 33111, 33112, 33121, 33137, 33156, 33157, 33166, 33167, 33181, 33187, 33188, 33190, 33199, 33202, 33215, 33219, 33220, 33239, 33240, 33244, 33248, 33249, 33259, 33260, 33272, 33275, 33276, 33284, 33288, 33289, 33299, 33310, 33313, 33320, 33329, 33331, 33335, 33340, 33351, 33362, 33368"
Gluconate 2-dehydrogenase,RAST2:fig|442.17.peg.866,141,"33379, 33385, 33397, 33398, 33402, 33421, 33422, 33434, 33443, 33448, 33459, 33469, 33470, 33493, 33500, 33523, 33528, 33555, 33571, 33576, 33577, 33587, 33622, 33637, 33664, 33734, 33741, 33769, 33807, 33819, 33820, 33844, 33851, 33852, 33905, 33910, 33918, 33928, 33957, 33973, 33985, 34004, 34005, 34008, 34009, 34021, 34041, 34042, 34047, 34048, 34064, 34072, 34115, 34117, 34120, 34121, 34176, 34179, 34180, 34189, 34190, 34215, 34237, 34251, 34255, 34259, 34273, 34319, 34392, 34407, 34413, 34429, 34431, 34434, 34435, 34436, 34437, 34446, 34462, 34481, 34482, 34491, 34492, 34506, 34512, 34513, 34515, 34524, 34527, 34540, 34544, 34545, 34564, 34565, 34569, 34573, 34574, 34584, 34585, 34597, 34600, 34601, 34609, 34613, 34614, 34624, 34635, 34638, 34645, 34654, 34656, 34660, 34665, 34676, 34687, 34693, 34703, 34720, 34728, 34729, 34745, 34754, 34781, 34809, 34810, 34843, 34846, 34854, 34922, 34923, 34924, 34966, 34975, 34986, 34990, 35021, 35022, 35023, 35042, 35047, 35117"
Gluconate 2-dehydrogenase,RAST2:fig|442.17.peg.867,51,"35171, 35177, 35189, 35190, 35194, 35213, 35214, 35226, 35235, 35240, 35251, 35261, 35262, 35285, 35292, 35315, 35320, 35347, 35363, 35368, 35369, 35379, 35414, 35429, 35456, 35526, 35533, 35561, 35599, 35611, 35612, 35636, 35643, 35644, 35697, 35702, 35710, 35720, 35749, 35765, 35777, 35796, 35797, 35800, 35801, 35813, 35833, 35834, 35839, 35840, 35856"
"Transcriptional regulator, LacI family",RAST2:fig|442.17.peg.868,68,"36053, 36059, 36071, 36072, 36076, 36095, 36096, 36108, 36117, 36122, 36133, 36143, 36144, 36167, 36174, 36197, 36202, 36229, 36245, 36250, 36251, 36261, 36296, 36311, 36338, 36408, 36415, 36443, 36481, 36493, 36494, 36518, 36525, 36526, 36579, 36584, 36592, 36602, 36631, 36647, 36659, 36678, 36679, 36682, 36683, 36695, 36715, 36716, 36721, 36722, 36738, 36746, 36789, 36791, 36794, 36795, 36850, 36853, 36854, 36863, 36864, 36889, 36911, 36925, 36929, 36933, 36947, 36993"
"Outer membrane low permeability porin, OprB family",RAST2:fig|442.17.peg.869,135,"37158, 37164, 37176, 37177, 37181, 37200, 37201, 37213, 37222, 37227, 37238, 37248, 37249, 37272, 37279, 37302, 37307, 37334, 37350, 37355, 37356, 37366, 37401, 37416, 37443, 37513, 37520, 37548, 37586, 37598, 37599, 37623, 37630, 37631, 37684, 37689, 37697, 37707, 37736, 37752, 37764, 37783, 37784, 37787, 37788, 37800, 37820, 37821, 37826, 37827, 37843, 37851, 37894, 37896, 37899, 37900, 37955, 37958, 37959, 37968, 37969, 37994, 38016, 38030, 38034, 38038, 38052, 38098, 38171, 38186, 38192, 38208, 38210, 38213, 38214, 38215, 38216, 38225, 38241, 38260, 38261, 38270, 38271, 38285, 38291, 38292, 38294, 38303, 38306, 38319, 38323, 38324, 38343, 38344, 38348, 38352, 38353, 38363, 38364, 38376, 38379, 38380, 38388, 38392, 38393, 38403, 38414, 38417, 38424, 38433, 38435, 38439, 38444, 38455, 38466, 38472, 38482, 38499, 38507, 38508, 38524, 38533, 38560, 38588, 38589, 38622, 38625, 38633, 38701, 38702, 38703, 38745, 38754, 38765, 38769"
Protein GlcG,RAST2:fig|442.17.peg.870,28,"39308, 39314, 39326, 39327, 39331, 39350, 39351, 39363, 39372, 39377, 39388, 39398, 39399, 39422, 39429, 39452, 39457, 39484, 39500, 39505, 39506, 39516, 39551, 39566, 39593, 39663, 39670, 39698"
hypothetical protein,RAST2:fig|442.17.peg.871,46,"39768, 39774, 39786, 39787, 39791, 39810, 39811, 39823, 39832, 39837, 39848, 39858, 39859, 39882, 39889, 39912, 39917, 39944, 39960, 39965, 39966, 39976, 40011, 40026, 40053, 40123, 40130, 40158, 40196, 40208, 40209, 40233, 40240, 40241, 40294, 40299, 40307, 40317, 40346, 40362, 40374, 40393, 40394, 40397, 40398, 40410"
2-Keto-D-gluconate dehydrogenase,RAST2:fig|442.17.peg.872,138,"40440, 40446, 40458, 40459, 40463, 40482, 40483, 40495, 40504, 40509, 40520, 40530, 40531, 40554, 40561, 40584, 40589, 40616, 40632, 40637, 40638, 40648, 40683, 40698, 40725, 40795, 40802, 40830, 40868, 40880, 40881, 40905, 40912, 40913, 40966, 40971, 40979, 40989, 41018, 41034, 41046, 41065, 41066, 41069, 41070, 41082, 41102, 41103, 41108, 41109, 41125, 41133, 41176, 41178, 41181, 41182, 41237, 41240, 41241, 41250, 41251, 41276, 41298, 41312, 41316, 41320, 41334, 41380, 41453, 41468, 41474, 41490, 41492, 41495, 41496, 41497, 41498, 41507, 41523, 41542, 41543, 41552, 41553, 41567, 41573, 41574, 41576, 41585, 41588, 41601, 41605, 41606, 41625, 41626, 41630, 41634, 41635, 41645, 41646, 41658, 41661, 41662, 41670, 41674, 41675, 41685, 41696, 41699, 41706, 41715, 41717, 41721, 41726, 41737, 41748, 41754, 41764, 41781, 41789, 41790, 41806, 41815, 41842, 41870, 41871, 41904, 41907, 41915, 41983, 41984, 41985, 42027, 42036, 42047, 42051, 42082, 42083, 42084"
2-Keto-D-gluconate dehydrogenase,RAST2:fig|442.17.peg.873,123,"42095, 42101, 42113, 42114, 42118, 42137, 42138, 42150, 42159, 42164, 42175, 42185, 42186, 42209, 42216, 42239, 42244, 42271, 42287, 42292, 42293, 42303, 42338, 42353, 42380, 42450, 42457, 42485, 42523, 42535, 42536, 42560, 42567, 42568, 42621, 42626, 42634, 42644, 42673, 42689, 42701, 42720, 42721, 42724, 42725, 42737, 42757, 42758, 42763, 42764, 42780, 42788, 42831, 42833, 42836, 42837, 42892, 42895, 42896, 42905, 42906, 42931, 42953, 42967, 42971, 42975, 42989, 43035, 43108, 43123, 43129, 43145, 43147, 43150, 43151, 43152, 43153, 43162, 43178, 43197, 43198, 43207, 43208, 43222, 43228, 43229, 43231, 43240, 43243, 43256, 43260, 43261, 43280, 43281, 43285, 43289, 43290, 43300, 43301, 43313, 43316, 43317, 43325, 43329, 43330, 43340, 43351, 43354, 43361, 43370, 43372, 43376, 43381, 43392, 43403, 43409, 43419, 43436, 43444, 43445, 43461, 43470, 43497"
hypothetical protein,RAST2:fig|442.17.peg.874,86,"43560, 43566, 43578, 43579, 43583, 43602, 43603, 43615, 43624, 43629, 43640, 43650, 43651, 43674, 43681, 43704, 43709, 43736, 43752, 43757, 43758, 43768, 43803, 43818, 43845, 43915, 43922, 43950, 43988, 44000, 44001, 44025, 44032, 44033, 44086, 44091, 44099, 44109, 44138, 44154, 44166, 44185, 44186, 44189, 44190, 44202, 44222, 44223, 44228, 44229, 44245, 44253, 44296, 44298, 44301, 44302, 44357, 44360, 44361, 44370, 44371, 44396, 44418, 44432, 44436, 44440, 44454, 44500, 44573, 44588, 44594, 44610, 44612, 44615, 44616, 44617, 44618, 44627, 44643, 44662, 44663, 44672, 44673, 44687, 44693, 44694"
